a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,4.20,Golden State Warriors,rebound,,,,,,,,,,Jack,,,,,,,,,8-23,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=80,
,,,,,,,,,,1,4.14,Golden State Warriors,shot,Lee,,,,,,,,,Thompson,3,,,made,,3PT Jump Shot,,,8-26,26,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=81,
,,,,,,,,,,1,3.56,Los Angeles Clippers,shot,,,,,,,,,,Paul,2,,,made,,Floating Jump Shot,,,10-26,7,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=82,
,,,,,,,,,,1,3.42,Golden State Warriors,turnover,,,,,,,,,,Thompson,,,Lost Ball,,,,,,10-26,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=83,
,,,,,,,,,,1,3.36,Los Angeles Clippers,shot,Crawford,,,,,,,,,Barnes,2,,,made,,Driving Layup,,,12-26,1,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=84,
,,,,,,,,,,1,3.13,Golden State Warriors,shot,,,,,,,,,,Jack,,,,missed,,3PT Jump Shot,,,12-26,27,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=85,
,,,,,,,,,,1,3.12,Los Angeles Clippers,rebound,,,,,,,,,,Griffin,,,,,,,,,12-26,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=86,
,,,,,,,,,,1,3.00,Los Angeles Clippers,shot,Paul,,,,,,,,,Barnes,3,,,made,,3PT Jump Shot,,,15-26,25,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=87,
,,,,,,,,,,1,2.37,Golden State Warriors,shot,,,,,,,,,,Jack,2,,,made,,Jump Shot,,,15-28,17,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=88,
,,,,,,,,,,1,2.25,Los Angeles Clippers,shot,,,,,,,,,,Crawford,,,,missed,,3PT Jump Shot,,,15-28,27,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=89,
,,,,,,,,,,1,2.24,Golden State Warriors,rebound,,,,,,,,,,Curry,,,,,,,,,15-28,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=90,
,,,,,,,,,,1,2.19,Golden State Warriors,timeout,,,,,,,,,,,,,,,,,,,15-28,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=91,
,,,,,,,,,,1,2.19,Golden State Warriors,substitute,,,,Landry,,Lee,,,,,,,,,,,,,15-28,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=93,
,,,,,,,,,,1,2.19,Golden State Warriors,substitute,,,,Green,,Thompson,,,,,,,,,,,,,15-28,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=100,
,,,,,,,,,,1,2.19,Golden State Warriors,substitute,,,,Ezeli,,Biedrins,,,,,,,,,,,,,15-28,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=94,
,,,,,,,,,,1,2.19,Los Angeles Clippers,substitute,,,,Odom,,Jordan,,,,,,,,,,,,,15-28,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=95,
,,,,,,,,,,1,2.12,Golden State Warriors,shot,Jack,,,,,,,,,Curry,2,,,made,,Turnaround Jump Shot,,,15-30,17,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=96,
,,,,,,,,,,1,1.48,Los Angeles Clippers,shot,,,,,,,,,,Paul,,,,missed,,3PT Jump Shot,,,15-30,29,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=97,
,,,,,,,,,,1,1.47,Los Angeles Clippers,rebound,,,,,,,,,,,,,,,,,,,15-30,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=98,
,,,,,,,,,,1,1.46,Golden State Warriors,substitute,,,,Jenkins,,Curry,,,,,,,,,,,,,15-30,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=99,
,,,,,,,,,,1,1.46,Golden State Warriors,foul,,,,,,,,,,Ezeli,,,,,,Personal,,,15-30,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=101,
,,,,,,,,,,1,1.46,Los Angeles Clippers,free throw,,,,,,,1,,2,Paul,1,,foul,made,,,,,16-30,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=102,
,,,,,,,,,,1,1.46,Golden State Warriors,substitute,,,,Biedrins,,Ezeli,,,,,,,,,,,,,16-30,,http://stats.nba.com/cvp.html?GameID=0021200475&GameEventID=104,
