a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,1.54,Sacramento Kings,foul,,,,,,,,,,Brooks,,,,,,Shooting,,,21-22,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=126,
,,,,,,,,,,1,1.54,Cleveland Cavaliers,free throw,,,,,,,1,,1,Miles,1,,foul,made,,,,,21-23,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=127,
,,,,,,,,,,1,1.39,Sacramento Kings,shot,Brooks,,,,,,,,,Thompson,2,,,made,,Turnaround Jump Shot,,,23-23,10,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=129,
,,,,,,,,,,1,1.28,Cleveland Cavaliers,shot,,,,,,,,,,Miles,,,,missed,,3PT Jump Shot,,,23-23,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=130,
,,,,,,,,,,1,1.27,Sacramento Kings,rebound,,,,,,,,,,Thompson,,,,,,,,,23-23,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=131,
,,,,,,,,,,1,1.18,Sacramento Kings,shot,,,,,,,,,,Brooks,2,,,made,,Step Back Jump Shot,,,25-23,17,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=132,
,,,,,,,,,,1,1.07,Cleveland Cavaliers,shot,,,,,,,,,,Waiters,,,,missed,,Jump Shot,,,25-23,18,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=133,
,,,,,,,,,,1,1.06,Cleveland Cavaliers,rebound,,,,,,,,,,Zeller,,,,,,,,,25-23,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=134,
,,,,,,,,,,1,1.04,Cleveland Cavaliers,shot,,,,,,,,,,Zeller,2,,,made,,Layup,,,25-25,1,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=135,
,,,,,,,,,,1,0.56,Cleveland Cavaliers,foul,,,,,,,,,,Waiters,,,,,,Shooting,,,25-25,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=137,
,,,,,,,,,,1,0.56,Sacramento Kings,free throw,,,,,,,1,,3,Fredette,1,,foul,made,,,,,26-25,,http://stats.nba.com/cvp.html?GameID=0021200466&GameEventID=138,
