a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance, url 
,,,,,,,,,,1,1.01,Portland Trail Blazers,rebound,,,,,,,,,,Jeffries,,,,,,,,,28-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=107,
,,,,,,,,,,1,0.46,Portland Trail Blazers,turnover,,,,,,,,,,Aldridge,,,Lost Ball,,,,,,28-20,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=108,
,,,,,,,,,,1,0.38,New York Knicks,shot,,,,,,,,,,Smith,3,,,made,,3PT Jump Shot,,,28-23,25,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=109,
,,,,,,,,,,1,0.26,New York Knicks,foul,,,,,,,,,,Smith,,,,,,Personal,,,28-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=110,
,,,,,,,,,,1,0.26,Portland Trail Blazers,free throw,,,,,,,1,,2,Batum,1,,foul,made,,,,,29-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=111,
,,,,,,,,,,1,0.26,Portland Trail Blazers,substitute,,,,Hickson,,Aldridge,,,,,,,,,,,,,29-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=113,
,,,,,,,,,,1,0.26,Portland Trail Blazers,free throw,,,,,,,2,,2,Batum,1,,foul,made,,,,,30-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=114,
,,,,,,,,,,1,0.07,Portland Trail Blazers,foul,,,,,,,,,,Jeffries,,,,,,Shooting,,,30-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=116,
,,,,,,,,,,1,0.07,New York Knicks,free throw,,,,,,,1,,2,Smith,,,foul,missed,,,,,30-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=117,
,,,,,,,,,,1,0.07,New York Knicks,rebound,,,,,,,,,,,,,,,,,,,30-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=118,
,,,,,,,,,,1,0.07,Portland Trail Blazers,substitute,,,,Babbitt,,Jeffries,,,,,,,,,,,,,30-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=119,
,,,,,,,,,,1,0.07,New York Knicks,substitute,,,,Brewer,,Novak,,,,,,,,,,,,,30-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=120,
,,,,,,,,,,1,0.07,New York Knicks,free throw,,,,,,,2,,2,Smith,,,foul,missed,,,,,30-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=121,
,,,,,,,,,,1,0.05,New York Knicks,rebound,,,,,,,,,,Smith,,,,,,,,,30-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=123,
,,,,,,,,,,1,0.00,New York Knicks,shot,,,,,,,,,,Smith,,,,missed,,3PT Jump Shot,,,30-23,25,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=124,
,,,,,,,,,,1,0.00,New York Knicks,rebound,,,,,,,,,,,,,,,,,,,30-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=125,
,,,,,,,,,,2,11.46,New York Knicks,shot,,,,,,,,,,Smith,,,,missed,,3PT Jump Shot,,,30-23,25,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=129,
,,,,,,,,,,2,11.44,Portland Trail Blazers,rebound,,,,,,,,,,Matthews,,,,,,,,,30-23,,http://stats.nba.com/cvp.html?GameID=0021200459&GameEventID=130,
