a1, a2, a3, a4, a5, h1, h2, h3, h4, h5, quarter, time, team, eventtype, assist, awayjumpball, block, entered, homejumpball, left, numfreeshot, opponent, outof, player, points, possession, reason, result, steal, type, x, y, score, shotdistance 
,,,,,,,,,,2,7.54,Oklahoma City Thunder,foul,,,,,,,,,,Mohammed,,,,,,Shooting,,,26-33,,
,,,,,,,,,,2,7.54,Oklahoma City Thunder,substitute,,,,Westbrook,,Maynor,,,,,,,,,,,,,26-33,,
,,,,,,,,,,2,7.54,Dallas Mavericks,free throw,,,,,,,1,,1,Nowitzki,,,foul,missed,,,,,26-33,,
,,,,,,,,,,2,7.52,Dallas Mavericks,rebound,,,,,,,,,,Odom,,,,,,,,,26-33,,
,,,,,,,,,,2,7.40,Dallas Mavericks,shot,,,,,,,,,,Nowitzki,2,,,made,,Step Back Jump Shot,,,26-35,10,
,,,,,,,,,,2,7.31,Dallas Mavericks,foul,,,,,,,,,,Odom,,,,,,Personal,,,26-35,,
,,,,,,,,,,2,7.31,Dallas Mavericks,substitute,,,,Marion,,Nowitzki,,,,,,,,,,,,,26-35,,
,,,,,,,,,,2,7.14,Oklahoma City Thunder,shot,,,,,,,,,,Harden,2,,,made,,Pullup Jump Shot,,,28-35,19,
,,,,,,,,,,2,6.52,Dallas Mavericks,shot,,,,,,,,,,Carter,2,,,made,,Driving Layup,,,28-37,1,
,,,,,,,,,,2,6.52,Oklahoma City Thunder,foul,,,,,,,,,,Mohammed,,,,,,Shooting,,,28-37,,
,,,,,,,,,,2,6.52,Oklahoma City Thunder,substitute,,,,Perkins,,Mohammed,,,,,,,,,,,,,28-37,,
,,,,,,,,,,2,6.52,Dallas Mavericks,free throw,,,,,,,1,,1,Carter,1,,foul,made,,,,,28-38,,
,,,,,,,,,,2,6.41,Dallas Mavericks,foul,,,,,,,,,,Odom,,,,,,Shooting,,,28-38,,
,,,,,,,,,,2,6.41,Oklahoma City Thunder,free throw,,,,,,,1,,2,Westbrook,,,foul,missed,,,,,28-38,,
,,,,,,,,,,2,6.41,Oklahoma City Thunder,rebound,,,,,,,,,,,,,,,,,,,28-38,,
,,,,,,,,,,2,6.41,Dallas Mavericks,substitute,,,,Kidd,,Odom,,,,,,,,,,,,,28-38,,
,,,,,,,,,,2,6.41,Oklahoma City Thunder,free throw,,,,,,,2,,2,Westbrook,1,,foul,made,,,,,29-38,,
,,,,,,,,,,2,6.32,Dallas Mavericks,shot,,,,,,,,,,Carter,,,,missed,,Step Back Jump Shot,,,29-38,14,
,,,,,,,,,,2,6.29,Oklahoma City Thunder,rebound,,,,,,,,,,Ibaka,,,,,,,,,29-38,,
,,,,,,,,,,2,6.23,Oklahoma City Thunder,shot,,,,,,,,,,Harden,,,,missed,,3PT Jump Shot,,,29-38,24,
,,,,,,,,,,2,6.22,Dallas Mavericks,rebound,,,,,,,,,,Mahinmi,,,,,,,,,29-38,,
,,,,,,,,,,2,6.06,Dallas Mavericks,shot,Kidd,,,,,,,,,Marion,2,,,made,,Driving Bank Shot,,,29-40,9,
,,,,,,,,,,2,5.42,Oklahoma City Thunder,shot,,,,,,,,,,Durant,2,,,made,,Jump Shot,,,31-40,10,
,,,,,,,,,,2,5.42,Dallas Mavericks,foul,,,,,,,,,,Carter,,,,,,Shooting,,,31-40,,
,,,,,,,,,,2,5.42,Oklahoma City Thunder,free throw,,,,,,,1,,1,Durant,1,,foul,made,,,,,32-40,,
,,,,,,,,,,2,5.29,Oklahoma City Thunder,foul,,,,,,,,,,Perkins,,,,,,Shooting,,,32-40,,
,,,,,,,,,,2,5.29,Dallas Mavericks,free throw,,,,,,,1,,2,Carter,,,foul,missed,,,,,32-40,,
,,,,,,,,,,2,5.29,Dallas Mavericks,rebound,,,,,,,,,,,,,,,,,,,32-40,,
,,,,,,,,,,2,5.29,Dallas Mavericks,free throw,,,,,,,2,,2,Carter,1,,foul,made,,,,,32-41,,
,,,,,,,,,,2,5.12,Oklahoma City Thunder,shot,,,,,,,,,,Perkins,2,,,made,,Reverse Layup,,,34-41,2,
,,,,,,,,,,2,4.54,Dallas Mavericks,shot,,,,,,,,,,Marion,,,,missed,,Jump Bank Shot,,,34-41,9,
,,,,,,,,,,2,4.51,Oklahoma City Thunder,rebound,,,,,,,,,,Westbrook,,,,,,,,,34-41,,
,,,,,,,,,,2,4.46,Oklahoma City Thunder,shot,Harden,,,,,,,,,Durant,3,,,made,,3PT Jump Shot,,,37-41,25,
,,,,,,,,,,2,4.45,Dallas Mavericks,timeout,,,,,,,,,,,,,,,,,,,37-41,,
,,,,,,,,,,2,4.45,Dallas Mavericks,substitute,,,,Haywood,,Carter,,,,,,,,,,,,,37-41,,
,,,,,,,,,,2,4.45,Dallas Mavericks,substitute,,,,Nowitzki,,Mahinmi,,,,,,,,,,,,,37-41,,
,,,,,,,,,,2,4.22,Dallas Mavericks,shot,,,,,,,,,,Terry,2,,,made,,Floating Jump Shot,,,37-43,8,
,,,,,,,,,,2,4.02,Oklahoma City Thunder,shot,Perkins,,,,,,,,,Westbrook,2,,,made,,Running Slam Dunk,,,39-43,1,
,,,,,,,,,,2,3.49,Dallas Mavericks,turnover,,,,,,,,,,Terry,,,Out of Bounds Lost Ball,,,,,,39-43,,
,,,,,,,,,,2,3.29,Oklahoma City Thunder,shot,,,,,,,,,,Durant,,,,missed,,Driving Layup,,,39-43,2,
,,,,,,,,,,2,3.27,Oklahoma City Thunder,rebound,,,,,,,,,,Perkins,,,,,,,,,39-43,,
,,,,,,,,,,2,3.25,Oklahoma City Thunder,shot,,,,,,,,,,Durant,,,,missed,,Tip Shot,,,39-43,1,
,,,,,,,,,,2,3.24,Dallas Mavericks,rebound,,,,,,,,,,Nowitzki,,,,,,,,,39-43,,
,,,,,,,,,,2,3.17,Dallas Mavericks,shot,Kidd,,,,,,,,,Haywood,2,,,made,,Running Layup,,,39-45,1,
,,,,,,,,,,2,2.59,Oklahoma City Thunder,shot,,,,,,,,,,Ibaka,,,,missed,,Jump Shot,,,39-45,16,
,,,,,,,,,,2,2.58,Dallas Mavericks,rebound,,,,,,,,,,Marion,,,,,,,,,39-45,,
,,,,,,,,,,2,2.53,Dallas Mavericks,shot,Kidd,,,,,,,,,Terry,3,,,made,,3PT Jump Shot,,,39-48,25,
,,,,,,,,,,2,2.46,Oklahoma City Thunder,timeout,,,,,,,,,,,,,,,,,,,39-48,,
,,,,,,,,,,2,2.35,Oklahoma City Thunder,shot,,,,,,,,,,Durant,2,,,made,,Floating Jump Shot,,,41-48,10,
,,,,,,,,,,2,2.13,Dallas Mavericks,shot,,,,,,,,,,Marion,,,,missed,,Floating Jump Shot,,,41-48,10,
,,,,,,,,,,2,2.10,Oklahoma City Thunder,rebound,,,,,,,,,,Westbrook,,,,,,,,,41-48,,
,,,,,,,,,,2,2.06,Oklahoma City Thunder,shot,,,,,,,,,,Westbrook,2,,,made,,Running Slam Dunk,,,43-48,1,
,,,,,,,,,,2,1.58,Dallas Mavericks,timeout,,,,,,,,,,,,,,,,,,,43-48,,
,,,,,,,,,,2,1.45,Dallas Mavericks,shot,Kidd,,,,,,,,,Haywood,2,,,made,,Layup,,,43-50,3,
,,,,,,,,,,2,1.27,Oklahoma City Thunder,shot,,,,,,,,,,Westbrook,,,,missed,,Jump Shot,,,43-50,14,
,,,,,,,,,,2,1.27,Oklahoma City Thunder,rebound,,,,,,,,,,Ibaka,,,,,,,,,43-50,,
,,,,,,,,,,2,1.24,Oklahoma City Thunder,shot,,,,,,,,,,Ibaka,,,,missed,,Layup,,,43-50,1,
,,,,,,,,,,2,1.23,Oklahoma City Thunder,rebound,,,,,,,,,,Harden,,,,,,,,,43-50,,
,,,,,,,,,,2,1.13,Dallas Mavericks,foul,,,,,,,,,,Haywood,,,,,,Shooting,,,43-50,,
,,,,,,,,,,2,1.13,Oklahoma City Thunder,free throw,,,,,,,1,,2,Perkins,,,foul,missed,,,,,43-50,,
,,,,,,,,,,2,1.13,Oklahoma City Thunder,rebound,,,,,,,,,,,,,,,,,,,43-50,,
,,,,,,,,,,2,1.13,Oklahoma City Thunder,free throw,,,,,,,2,,2,Perkins,1,,foul,made,,,,,44-50,,
,,,,,,,,,,2,0.54,Dallas Mavericks,shot,,,,,,,,,,Terry,,,,missed,,Jump Shot,,,44-50,13,
,,,,,,,,,,2,0.52,Dallas Mavericks,rebound,,,,,,,,,,Haywood,,,,,,,,,44-50,,
