quarter,time,eventtype,team,outof,numfreeshot,points,reason,result,type,score,shotdistance,x,url,y,asssist,awayjumpball,block,entered,homejumpball,left,opponent,player,steal
1,3:31.0,foul,Cleveland Cavaliers,,,,,,Personal,17-19,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=83,,,,,,,,,Alonzo Gee,
1,3:31.0,substitute,Washington Wizards,,,,,,,17-19,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=84,,,,,Jan Vesely,,Emeka Okafor,,,
1,3:31.0,substitute,Cleveland Cavaliers,,,,,,,17-19,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=85,,,,,Daniel Gibson,,Alonzo Gee,,,
1,3:16.0,shot,Washington Wizards,,,2,,missed,Jump Shot,17-19,10,182,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=86,125,,,,,,,,Trevor Booker,
1,3:15.0,rebound,Cleveland Cavaliers,,,,,,Defensive,17-19,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=87,,,,,,,,,Tyler Zeller,
1,3:09.0,shot,Cleveland Cavaliers,,,3,,made,3PT Jump Shot,17-22,25,87,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=88,237,Daniel Gibson,,,,,,,Kyrie Irving,
1,2:56.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,17-22,24,11,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=89,75,,,,,,,,A.J. Price,
1,2:55.0,rebound,Cleveland Cavaliers,,,,,,Defensive,17-22,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=90,,,,,,,,,Kyrie Irving,
1,2:34.0,shot,Cleveland Cavaliers,,,3,,missed,3PT Jump Shot,17-22,24,13,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=91,80,,,,,,,,Kyrie Irving,
1,2:32.0,rebound,Washington Wizards,,,,,,Defensive,17-22,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=92,,,,,,,,,,
1,2:32.0,timeout,Washington Wizards,,,,,,full,17-22,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=93,,,,,,,,,,
1,2:32.0,substitute,Cleveland Cavaliers,,,,,,,17-22,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=95,,,,,Luke Walton,,Tristan Thompson,,,
1,2:32.0,substitute,Washington Wizards,,,,,,,17-22,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=96,,,,,Martell Webster,,Trevor Ariza,,,
1,2:32.0,substitute,Washington Wizards,,,,,,,17-22,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=97,,,,,Jordan Crawford,,Bradley Beal,,,
1,2:19.0,shot,Washington Wizards,,,2,,made,Alley Oop Dunk,19-22,1,243,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=98,54,A.J. Price,,,,,,,Jan Vesely,
1,2:06.0,shot,Cleveland Cavaliers,,,2,,missed,Driving Layup,19-22,1,254,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=99,57,,,,,,,,C.J. Miles,
1,2:05.0,rebound,Washington Wizards,,,,,,Defensive,19-22,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=100,,,,,,,,,Jan Vesely,
1,1:54.0,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,19-22,23,18,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=101,70,,,,,,,,Martell Webster,
1,1:53.0,rebound,Washington Wizards,,,,,,Offensive,19-22,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=102,,,,,,,,,Jan Vesely,
1,1:47.0,shot,Washington Wizards,,,3,,made,3PT Jump Shot,22-22,23,481,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=103,59,Trevor Booker,,,,,,,Martell Webster,
1,1:28.0,shot,Cleveland Cavaliers,,,2,,made,Jump Shot,22-24,20,437,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=104,116,,,,,,,,C.J. Miles,
1,1:14.0,shot,Washington Wizards,,,2,,made,Jump Shot,24-24,11,292,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=105,155,,,,,,,,Trevor Booker,
1,1:07.0,shot,Cleveland Cavaliers,,,3,,made,3PT Jump Shot,24-27,26,87,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=106,256,Kyrie Irving,,,,,,,Daniel Gibson,
1,0:53.9,shot,Washington Wizards,,,2,,missed,Jump Shot,24-27,13,366,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=107,103,,,,,,,,Jordan Crawford,
1,0:52.9,rebound,Cleveland Cavaliers,,,,,,Defensive,24-27,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=108,,,,,,,,,C.J. Miles,
1,0:41.9,shot,Cleveland Cavaliers,,,2,,made,Jump Shot,24-29,19,128,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=110,193,Kyrie Irving,,,,,,,Luke Walton,
1,0:20.9,shot,Washington Wizards,,,3,,missed,3PT Jump Shot,24-29,24,24,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=111,116,,,,,,,,Jordan Crawford,
1,0:19.9,rebound,Cleveland Cavaliers,,,,,,Defensive,24-29,,,http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=112,,,,,,,,,Kyrie Irving,
