" quarter@br","min@br","sec@br"," eventtype@br"," team@br"," outof@br"," numfreeshot@br"," points@br"," reason@br"," result@br"," type@br"," score@br"," shotdistance@br"," x@br"," y@br","assist_0@br","assist_1@br","awayjumpball_0@br","awayjumpball_1@br","block_0@br","block_1@br","entered_0@br","entered_1@br","homejumpball_0@br","homejumpball_1@br","left_0@br","left_1@br","opponent_0@br","opponent_1@br","player_0@br","player_1@br","split_0@br","split_1@br"," quarter@NBA","min@NBA","sec@NBA"," eventtype@NBA"," team@NBA"," outof@NBA"," numfreeshot@NBA"," points@NBA"," reason@NBA"," result@NBA"," type@NBA"," score@NBA"," shotdistance@NBA"," url @NBA"," assist@NBA"," awayjumpball@NBA"," block@NBA"," entered@NBA"," homejumpball@NBA"," left@NBA"," opponent@NBA"," player@NBA"," steal@NBA","Confidence"
"1","6","01.0","shot","Cleveland Cavaliers","","","2","","missed","jumper","14-15","19","435","81","","","","","","","","","","","","","","","Alonzo","Gee","","","1","6","01","shot","Cleveland Cavaliers","","","","","missed","Jump Shot","14-15","19","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=57","","","","","","","","Gee","","80"
"1","6","00.0","rebound","Washington Wizards","","","","","","Defensive","14-15","","","","","","","","","","","","","","","","","","A.J.","Price","","","1","6","00","rebound","Washington Wizards","","","","","","","14-15","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=58","","","","","","","","Price","","80"
"1","5","54.0","shot","Washington Wizards","","","3","","made","jumper","17-15","25","412","245","A.J.","Price","","","","","","","","","","","","","Bradley","Beal","","","1","5","54","shot","Washington Wizards","","","3","","made","3PT Jump Shot","17-15","25","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=59","Price","","","","","","","Beal","","84"
"1","5","49.0","timeout","Cleveland Cavaliers","","","","","","full","17-15","","","","","","","","","","","","","","","","","","","","","","1","5","49","timeout","Cleveland Cavaliers","","","","","","","17-15","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=60","","","","","","","","","","78"
"1","5","49.0","substitute","Cleveland Cavaliers","","","","","","","17-15","","","","","","","","","","C.J.","Miles","","","Anderson","Varejao","","","","","","","1","5","49","substitute","Cleveland Cavaliers","","","","","","","17-15","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=62","","","","Miles","","Varejao","","","","82"
"1","5","49.0","substitute","Cleveland Cavaliers","","","","","","","17-15","","","","","","","","","","Tyler","Zeller","","","Dion","Waiters","","","","","","","1","5","49","substitute","Cleveland Cavaliers","","","","","","","17-15","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=63","","","","Zeller","","Waiters","","","","82"
"1","5","35.0","shot","Cleveland Cavaliers","","","2","","missed","layup","17-15","1","257","50","","","","","","","","","","","","","","","C.J.","Miles","","","1","5","35","shot","Cleveland Cavaliers","","","","","missed","Layup","17-15","1","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=65","","","","","","","","Miles","","82"
"1","5","34.0","rebound","Cleveland Cavaliers","","","","","","Offensive","17-15","","","","","","","","","","","","","","","","","","Tristan","Thompson","","","1","5","34","rebound","Cleveland Cavaliers","","","","","","","17-15","","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=66","","","","","","","","Thompson","","80"
"1","5","32.0","shot","Cleveland Cavaliers","","","2","","made","layup","17-17","1","252","59","","","","","","","","","","","","","","","Tristan","Thompson","","","1","5","32","shot","Cleveland Cavaliers","","","2","","made","Layup","17-17","1","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=67","","","","","","","","Thompson","","84"
"1","5","09.0","shot","Washington Wizards","","","3","","missed","jumper","17-17","27","128","292","","","","","","","","","","","","","","","A.J.","Price","","","1","5","09","shot","Washington Wizards","","","","","missed","3PT Jump Shot","17-17","27","http://stats.nba.com/cvp.html?GameID=0021200001&GameEventID=68","","","","","","","","Price","","80"
