"href","period","score","team","text","time"
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=107,1,,Dallas Mavericks,MISS Brand 1' Layup,2:24
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=108,1,,Washington Wizards,Vesely REBOUND (Off:0 Def:1),2:22
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=109,1,,Washington Wizards,MISS Beal 2' Layup,2:19
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=110,1,,Washington Wizards,Mack REBOUND (Off:1 Def:0),2:15
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=111,1,[ 18 - 23 ],Washington Wizards,Mack 19' Jump Shot (2 PTS),2:13
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=112,1,,Washington Wizards,Seraphin S.FOUL (P1.PN),1:56
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=113,1,,Dallas Mavericks,MISS Crowder Free Throw 1 of 2,1:56
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=114,1,,Dallas Mavericks,Mavericks Rebound,1:56
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=115,1,,Dallas Mavericks,SUB: Douglas-Roberts FOR Mayo,1:56
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=116,1,,Dallas Mavericks,SUB: Beaubois FOR Collison,1:56
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=117,1,,Washington Wizards,SUB: Martin FOR Beal,1:56
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=118,1,,Dallas Mavericks,MISS Crowder Free Throw 2 of 2,1:56
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=120,1,,Washington Wizards,Martin REBOUND (Off:0 Def:1),1:48
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=121,1,,Dallas Mavericks,Brand S.FOUL (P1.PN),1:36
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=122,1,[ 18 - 24 ],Washington Wizards,Seraphin Free Throw 1 of 2 (3 PTS),1:36
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=124,1,[ 18 - 25 ],Washington Wizards,Seraphin Free Throw 2 of 2 (4 PTS),1:36
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=127,1,[ 20 - 25 ],Dallas Mavericks,Brand 12' Fadeaway Jumper (2 PTS) (Beaubois 1 AST),1:15
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=128,1,,Washington Wizards,MISS Vesely 13' Jump Shot,1:04
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=129,1,,Dallas Mavericks,Brand REBOUND (Off:0 Def:2),1:03
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=130,1,,Dallas Mavericks,MISS Beaubois 25' 3PT Jump Shot,0:54
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=131,1,,Washington Wizards,Martin REBOUND (Off:0 Def:2),0:53
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=132,1,[ 20 - 27 ],Washington Wizards,Vesely 2' Alley Oop Dunk (2 PTS) (Mack 1 AST),0:49
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=133,1,[ 23 - 27 ],Dallas Mavericks,Beaubois  3PT Jump Shot (3 PTS) (Douglas-Roberts 1 AST),0:25
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=134,1,[ 23 - 29 ],Washington Wizards,Crawford 18' Fadeaway Jumper (2 PTS),0:04
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=135,1,,Dallas Mavericks,MISS Beaubois 39' 3PT Jump Shot,0:01
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=136,1,,Dallas Mavericks,Mavericks Rebound,0:00
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=140,2,[ 23 - 31 ],Washington Wizards,Nene 8' Fadeaway Jumper (2 PTS) (Martin 1 AST),11:41
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=141,2,,Dallas Mavericks,Nowitzki S.FOUL (P2.T1),11:41
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=142,2,[ 23 - 32 ],Washington Wizards,Nene Free Throw 1 of 1 (3 PTS),11:41
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=145,2,,Dallas Mavericks,MISS Beaubois 5' Jump Shot,11:24
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=146,2,,Washington Wizards,Vesely REBOUND (Off:0 Def:2),11:23
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=147,2,,Washington Wizards,MISS Mack 15' Jump Shot,11:02
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=148,2,,Dallas Mavericks,Douglas-Roberts REBOUND (Off:0 Def:1),11:01
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=149,2,,Washington Wizards,Martin STEAL (1 STL),10:50
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=149,2,,Dallas Mavericks,Crowder Lost Ball Turnover (P1.T2),10:50
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=150,2,[ 23 - 34 ],Washington Wizards,Nene  Driving Dunk (5 PTS) (Crawford 1 AST),10:38
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=151,2,,Dallas Mavericks,Mavericks Timeout: Regular (Reg.2 Short 1),10:36
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=153,2,,Washington Wizards,Mack S.FOUL (P1.T1),10:13
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=154,2,,Dallas Mavericks,MISS Beaubois Free Throw 1 of 2,10:13
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=155,2,,Dallas Mavericks,Mavericks Rebound,10:13
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=156,2,,Dallas Mavericks,SUB: Marion FOR Nowitzki,10:13
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=157,2,,Dallas Mavericks,MISS Beaubois Free Throw 2 of 2,10:13
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=159,2,,Washington Wizards,Nene REBOUND (Off:0 Def:2),10:12
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=160,2,[ 23 - 37 ],Washington Wizards,Crawford 26' 3PT Jump Shot (5 PTS) (Mack 2 AST),9:55
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=161,2,,Dallas Mavericks,MISS Brand 19' Jump Shot,9:32
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=162,2,,Dallas Mavericks,Marion REBOUND (Off:1 Def:1),9:31
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=163,2,,Dallas Mavericks,MISS Marion 1' Layup,9:27
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=164,2,,Dallas Mavericks,Brand REBOUND (Off:1 Def:2),9:26
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=165,2,,Dallas Mavericks,Beaubois Traveling Turnover (P1.T3),9:18
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=166,2,,Washington Wizards,SUB: Seraphin FOR Vesely,9:18
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=168,2,,Washington Wizards,MISS Nene 2' Layup,9:03
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=169,2,,Dallas Mavericks,Brand REBOUND (Off:1 Def:3),9:02
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=170,2,,Washington Wizards,Crawford S.FOUL (P1.T2),8:58
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=171,2,[ 24 - 37 ],Dallas Mavericks,Douglas-Roberts Free Throw 1 of 2 (1 PTS),8:58
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=173,2,,Dallas Mavericks,SUB: Carter FOR Crowder,8:58
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=174,2,,Dallas Mavericks,SUB: Collison FOR Beaubois,8:58
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=175,2,,Dallas Mavericks,SUB: Kaman FOR Brand,8:58
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=176,2,[ 25 - 37 ],Dallas Mavericks,Douglas-Roberts Free Throw 2 of 2 (2 PTS),8:58
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=179,2,[ 25 - 39 ],Washington Wizards,Seraphin 6' Jump Hook Shot (6 PTS) (Crawford 2 AST),8:44
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=180,2,,Dallas Mavericks,MISS Collison 26' 3PT Jump Shot,8:25
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=181,2,,Washington Wizards,Nene REBOUND (Off:0 Def:3),8:23
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=182,2,,Washington Wizards,MISS Crawford 25' 3PT Jump Shot,8:11
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=183,2,,Dallas Mavericks,Marion REBOUND (Off:1 Def:2),8:10
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=184,2,,Dallas Mavericks,MISS Collison 24' 3PT Jump Shot,8:00
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=185,2,,Washington Wizards,Martin REBOUND (Off:0 Def:3),7:59
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=186,2,,Washington Wizards,MISS Seraphin 15' Jump Shot,7:41
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=187,2,,Dallas Mavericks,Kaman REBOUND (Off:0 Def:3),7:40
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=188,2,,Dallas Mavericks,MISS Douglas-Roberts 4' Jump Shot,7:27
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=189,2,,Washington Wizards,Seraphin REBOUND (Off:0 Def:2),7:26
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=190,2,,Dallas Mavericks,Carter P.FOUL (P1.T2),7:26
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=191,2,,Washington Wizards,WIZARDS Timeout: Regular (Full 2 Short 0),7:26
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=192,2,,Dallas Mavericks,SUB: Mayo FOR Douglas-Roberts,7:26
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=193,2,,Washington Wizards,SUB: Webster FOR Nene,7:26
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=194,2,,Washington Wizards,SUB: Temple FOR Mack,7:26
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=197,2,,Washington Wizards,SUB: Okafor FOR Martin,7:26
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=196,2,,Dallas Mavericks,Mayo P.FOUL (P2.T3),7:13
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=199,2,,Washington Wizards,MISS Crawford 26' 3PT Jump Shot,7:01
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=200,2,,Dallas Mavericks,Marion REBOUND (Off:1 Def:3),6:59
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=201,2,,Washington Wizards,Okafor P.FOUL (P1.T3),6:42
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=202,2,,Washington Wizards,SUB: Beal FOR Crawford,6:42
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=203,2,[ 27 - 39 ],Dallas Mavericks,Marion 11' Fadeaway Jumper (2 PTS) (Carter 1 AST),6:32
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=204,2,,Washington Wizards,Webster Bad Pass Turnover (P1.T3),6:12
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=204,2,,Dallas Mavericks,Kaman STEAL (1 STL),6:12
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=205,2,[ 29 - 39 ],Dallas Mavericks,Collison  Layup (4 PTS) (Kaman 1 AST),6:10
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=206,2,,Washington Wizards,Temple S.FOUL (P3.T4),6:10
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=207,2,[ 30 - 39 ],Dallas Mavericks,Collison Free Throw 1 of 1 (5 PTS),6:10
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=209,2,,Washington Wizards,MISS Beal  3PT Jump Shot,5:50
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=210,2,,Dallas Mavericks,Marion REBOUND (Off:1 Def:4),5:49
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=211,2,,Dallas Mavericks,MISS Carter 26' 3PT Jump Shot,5:39
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=212,2,,Washington Wizards,Webster REBOUND (Off:2 Def:2),5:38
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=213,2,,Dallas Mavericks,Carter S.FOUL (P2.T4),5:32
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=214,2,[ 30 - 40 ],Washington Wizards,Temple Free Throw 1 of 2 (1 PTS),5:32
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=216,2,[ 30 - 41 ],Washington Wizards,Temple Free Throw 2 of 2 (2 PTS),5:32
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=219,2,,Washington Wizards,Okafor P.FOUL (P2.PN),5:20
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=220,2,[ 31 - 41 ],Dallas Mavericks,Carter Free Throw 1 of 2 (7 PTS),5:20
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=221,2,,Washington Wizards,SUB: Mack FOR Temple,5:20
http://stats.nba.com/cvp.html?GameID=0021200458&GameEventID=222,2,,Dallas Mavericks,MISS Carter Free Throw 2 of 2,5:20
