" quarter@br","min@br","sec@br"," eventtype@br"," team@br"," outof@br"," numfreeshot@br"," points@br"," reason@br"," result@br"," type@br"," score@br"," shotdistance@br"," x@br"," y@br","assist_0@br","assist_1@br","awayjumpball_0@br","awayjumpball_1@br","block_0@br","block_1@br","entered_0@br","entered_1@br","homejumpball_0@br","homejumpball_1@br","left_0@br","left_1@br","opponent_0@br","opponent_1@br","player_0@br","player_1@br","split_0@br","split_1@br"," quarter@NBA","min@NBA","sec@NBA"," eventtype@NBA"," team@NBA"," outof@NBA"," numfreeshot@NBA"," points@NBA"," reason@NBA"," result@NBA"," type@NBA"," score@NBA"," shotdistance@NBA"," url @NBA"," assist@NBA"," awayjumpball@NBA"," block@NBA"," entered@NBA"," homejumpball@NBA"," left@NBA"," opponent@NBA"," player@NBA"," steal@NBA","Confidence"
"1","4","45.0","free throw","Sacramento Kings","2","1","","foul","made","","14-16","","","","","","","","","","","","","","","","","","Tyreke","Evans","","","1","4","45","free throw","Sacramento Kings","2","1","1","foul","made","","14-16","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=60","","","","","","","","Evans","","80"
"1","4","45.0","free throw","Sacramento Kings","2","2","","foul","made","","15-16","","","","","","","","","","","","","","","","","","Tyreke","Evans","","","1","4","45","free throw","Sacramento Kings","2","2","1","foul","made","","15-16","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=62","","","","","","","","Evans","","80"
"1","4","26.0","shot","Chicago Bulls","","","2","","missed","jumper","15-16","21","456","25","","","","","","","","","","","","","","","Kirk","Hinrich","","","1","4","26","shot","Chicago Bulls","","","","","missed","Jump Shot","15-16","21","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=64","","","","","","","","Hinrich","","80"
"1","4","25.0","rebound","Sacramento Kings","","","","","","Defensive","15-16","","","","","","","","","","","","","","","","","","DeMarcus","Cousins","","","1","4","25","rebound","Sacramento Kings","","","","","","","15-16","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=65","","","","","","","","Cousins","","80"
"1","4","11.0","shot","Sacramento Kings","","","2","","missed","jumper","15-16","7","216","113","","","","","Carlos","Boozer","","","","","","","","","Jason","Thompson","","","1","4","11","shot","Sacramento Kings","","","","","missed","Jump Shot","15-16","7","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=66","","","Boozer","","","","","Thompson","","82"
"1","4","11.0","rebound","Sacramento Kings","","","","","","Offensive","15-16","","","","","","","","","","","","","","","","","","","","","","1","4","11","rebound","Sacramento Kings","","","","","","","15-16","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=67","","","","","","","","","","78"
"1","4","03.0","shot","Sacramento Kings","","","2","","made","shot","17-16","2","257","65","Tyreke","Evans","","","","","","","","","","","","","DeMarcus","Cousins","","","1","4","03","shot","Sacramento Kings","","","2","","made","Hook Shot","17-16","2","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=68","Evans","","","","","","","Cousins","","84"
"1","3","37.0","shot","Chicago Bulls","","","2","","missed","jumper","17-16","15","103","50","","","","","","","","","","","","","","","Richard","Hamilton","","","1","3","37","shot","Chicago Bulls","","","","","missed","Jump Shot","17-16","15","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=70","","","","","","","","Hamilton","","80"
"1","3","36.0","rebound","Chicago Bulls","","","","","","Offensive","17-16","","","","","","","","","","","","","","","","","","Joakim","Noah","","","1","3","36","rebound","Chicago Bulls","","","","","","","17-16","","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=72","","","","","","","","Noah","","80"
"1","3","36.0","shot","Chicago Bulls","","","2","","missed","tip shot","17-16","1","260","57","","","","","","","","","","","","","","","Joakim","Noah","","","1","3","36","shot","Chicago Bulls","","","","","missed","Tip Shot","17-16","1","http://stats.nba.com/cvp.html?GameID=0021200007&GameEventID=71","","","","","","","","Noah","","80"
